health,"Growth hack for social media ""Consistency and Creativity""."
culture,This Is How Werewolves Poisons Our Culture
music,"have classical studies tomorrow.
should i livestream gouging my own eyes out?"
music,good morning to everyone except Classical Studies Memes for Hellenistic Teens who have reposted a joke I made on tumblr five years ago
sport,Studies have shown that classical music helps cows produce more milk
photography,"I hope that's ok for granted the scrutiny of their nature - my professors in classical studies, there some as-yet-unformulated"
cooking,Can’t hang with cooking hands down 🙄🤷🏾‍♀️
music,Sometimes u just gotta put it or um on the back burner. For what I’m cooking u shoulda been off the stove a long time ago🗑
history,Piper you're pathetic. Focus on cooking. You're not in a beauty pageant. #MKR
painting,"Thou hast made a wise choice, Sam. The art of cooking is the art of drama! So naturally I have much to show this young man."
cooking,I should have my own cooking channel
cooking,Never trusting my brothers cooking 🤮🤢
cooking,"""you are cooking in a burnt pan you fucking dick"" - gordon ramsay 2018"
drawing,I love cooking and baking so I always try to find something new I want to make~ = ω =)
cooking,Stuck between cooking or buying food to eat
painting,When you come home from work on a Monday night and your husband has dinner cooking and basically on the table. 🙌🏼🙌🏼🙌🏼
cooking,Cooking bitch
theatre,"Critical Race Theory 788
Injustice Of The Charges: Introduction To Critical Race Theory
$146"
photography,my hobbies include choosing a random page in ao3 kim mingyu/lee jihoon (woozi) tag to reread some fics and cry
exercise,RT AnkaGuccii: My hobbies include looking up things on the internet that I can't afford 😌😁
exercise,My hobbies include restarting my favorite shows from the beginning even though I’ve seen the whole series 5+ times lol
exercise,"Her hobbies are watching movies, exercising, dancing, acting."
exercise,Hobbies: studying flat-earth
exercise,"Makamingaw nay kasturya
Nimal 😆 
My hobbies don't do much anymore
Hysss"
drawing,I think your love of art and literature makes your life richer. I ought to take a page from your book. Glasses really do suit you.
health,"Environmental concern is now firmly embedded in public life: in education, medicine and law in journalism, literature and art."
photography,"art is so beautiful. fashion, music, film, literature. it’s so personal and incredible and i want to dedicate my life to it"
drawing,"Literature: To Carry Racy Rot, by Art Cory"
cooking,"I love to dance to the truth of fiction, inside of a lie"
cooking,"You can read me like a book, but jokes on you, cause I’m Spongebob x Pikachu fan fiction!"
cooking,i love pulp fiction
photography,Three weeks until Game Of Thrones but more importantly three weeks until my birthday
painting,"Alright you guys, thanks, a level 9 really belongs in a game full of leve..."
exercise,Retro Rogue-lite game where player plays as a industrial machinery mechanic that baaaarely comes off as a good person
drawing,"Will today's match #RRvKXIP be a high scoring game..?
#RR #KXIP #IPL2019"
cooking,Time flies when you playing a good ass game lol. I definitely thought it was still like 2 something😂
drawing,I wanted so much to end this game I’m literally tired
painting,"RIP Scott walker!!! no one pulls off the drama and poetry that you did, a true true king"
culture,"Extraneous, neighboring, grey."
sport,"clouds a mastodon
golden twilight poetry
gently america

#haiku"
health,"We found a way to frame our thoughts so well; words enjoy their freedom on the page. You and I, written into poetry.
#vss365 #frame"
theatre,And the death bell tolls for poetry which for so long had been the second.
theatre,Maybe even a poetry book
theatre,Sports Direct International criticised a lack of engagement from department store owner Debenhams
history,James Bond always speeds in a sports car before he saves the angry world.
exercise,I’ve always been jealous of people who do performing arts or visual arts. My best artwork is meatloaf.
culture,"""Bands gonna make me dance..."" code for money makes me move. When the money is the motive the honey is not money."
animal,It’s 2am and my bf is doing that floss dance ... he’s supposed to be working.😂🙄
theatre,Chad Focus ft. Raeliss  - Dance With Me
history,Oh yeah? Really? I have the grossest horror film in American History?
painting,"In the new film, Padmé Finn accidentally fixes a Laser-Phaser with Mama"
painting,"Traffic, starring Robin Wright and Katie Holmes. Directed by Jean-Luc Godard, music by Refused. Budget: $140m"
music,apple music said here take the crumbs u fucks
music,ITS ON APPLE MUSIC NOW
health,Listening to the wonderful music of Scott Walker today. #RIPScottWalker
music,"Cant Even Sleep , Up Listen To Old School Music"
music,Brandy used to make such good music.
music,"#Firstplay: ""Let The Sunshine In"" by Julie Driscoll &amp; Brian Auger &amp; The Trinity on BBC Radio 6 Music (#BBC6Music)"
painting,Your taste in music is something that develops through experience and is not something you are born with.
music,RT nam_radio: #Nowplaying -by cooperphillip1 - PARTY BY MYSELF #music #namradio
music,why is there only 4 songs on apple music
music,ITS FINALLY ON APPLE MUSIC LSMSMAMSM
painting,Hot take: Opera isn't a good person.
theatre,Try installing a cement work in the anatomical theatre!
theatre,Theatre kids on some other shit holy fuck I forgot
sport,Crazy that AMC in concord mills got shot up at the movie theatre
drawing,"I was going to see Endgame in theatre, then i heard Bharat trailer is locked with the movie, now I'm gonna watch pirated print at home."
painting,OPSD Visual Arts pft
sport,and by that i mean collaborate with nice friends who are interested in the visual arts because that is certainly not my forte lol
drawing,"Elinor gently, ""that its situation is in drawing up a measure which was not beyond one day, though a long day's journey;"
drawing,im drawing ANOTHER fursona uh OH
drawing,"Finally paid my drawing request debt to my classmates. Welp,they were happy and it made me happy so its win win!!!"
drawing,"Clear your schedule, and also join me on discord so I can screen share the flowchart I'll be drawing while I tell you about my OCs."
painting,I miss painting
cooking,Joshua the judge plays a trombone with a pop can on it before painting a plumbogummite or babys breath using humanism
history,Literally every painting Hieronymous Bosch ever painted is an allegory for Brexit.
music,Photography for life because if I follow a different path and i finally die I would've wasted my entire existence.
painting,"#MondayMotivation
Life is like photography. We develop from negatives."
theatre,"CAR, gill sans buckfast mark e smith straws straws typography with MALCOLM on every inch covered with a look EXT straws graphic"
exercise,"GENNARO sits behind them, black with Tim. cottage pie klf typography chombo mark e smith MANO DE DIOS AMBER MINE klf mark"
